site_name,site_code,fish_species,individual_code,fish_replicant,food_type_code,food_type_label,area_sum,total_area,prop
Emarti,M4,Labeobarbus altianalis,3,2,GRASS,Grass,880.223,880.223,1
Emarti,M4,Labeobarbus altianalis,3,2,IO,Inorganic,637.595,637.595,1
Emarti,M4,Labeobarbus altianalis,3,2,LD,Leaf detritus,9511.311,9511.311,1
Emarti,M4,Labeobarbus altianalis,3,2,NAB,Non-attached biofilm,4818.289,4818.289,1
Emarti,M4,Labeobarbus altianalis,3,3,AD,Attached diatoms,27159.477000000006,27159.477000000006,1
Emarti,M4,Labeobarbus altianalis,3,3,DIATOM,Diatoms,147.28,147.28,1
Emarti,M4,Labeobarbus altianalis,3,3,GRASS,Grass,825.5,825.5,1
Emarti,M4,Labeobarbus altianalis,3,3,INSECT,Insects,52.984,52.984,1
Emarti,M4,Labeobarbus altianalis,3,3,IO,Inorganic,589.533,589.533,1
Emarti,M4,Labeobarbus altianalis,3,3,LD,Leaf detritus,4779.559000000001,4779.559000000001,1
Emarti,M4,Labeobarbus altianalis,3,3,NAB,Non-attached biofilm,30496.30100000001,30496.30100000001,1
Emarti,M4,Labeobarbus altianalis,5,1,AD,Attached diatoms,19114.81599999999,19114.81599999999,1
Emarti,M4,Labeobarbus altianalis,5,1,DIATOM,Diatoms,217.13099999999997,217.13099999999997,1
Emarti,M4,Labeobarbus altianalis,5,1,FH,Fish hair,416.124,416.124,1
Emarti,M4,Labeobarbus altianalis,5,1,INSECT,Insects,552,552,1
Emarti,M4,Labeobarbus altianalis,5,1,IO,Inorganic,283,283,1
Emarti,M4,Labeobarbus altianalis,5,1,LD,Leaf detritus,850.158,850.158,1
Emarti,M4,Labeobarbus altianalis,5,1,NAB,Non-attached biofilm,10039.696000000002,10039.696000000002,1
Emarti,M4,Labeobarbus altianalis,5,1,VM,Vascular macrophyte,1656.701,1656.701,1
Emarti,M4,Labeobarbus altianalis,5,2,AD,Attached diatoms,19134.391999999996,19134.391999999996,1
Emarti,M4,Labeobarbus altianalis,5,2,DIATOM,Diatoms,75.186,75.186,1
Emarti,M4,Labeobarbus altianalis,5,2,FH,Fish hair,122.632,122.632,1
Emarti,M4,Labeobarbus altianalis,5,2,IO,Inorganic,280.076,280.076,1
Emarti,M4,Labeobarbus altianalis,5,2,LD,Leaf detritus,246.463,246.463,1
Emarti,M4,Labeobarbus altianalis,5,2,NAB,Non-attached biofilm,13623.861999999997,13623.861999999997,1
Emarti,M4,Labeobarbus altianalis,5,2,VM,Vascular macrophyte,534.5,534.5,1
Emarti,M4,Labeobarbus altianalis,5,3,AD,Attached diatoms,6532.4479999999985,6532.4479999999985,1
Emarti,M4,Labeobarbus altianalis,5,3,DIATOM,Diatoms,25.6,25.6,1
Emarti,M4,Labeobarbus altianalis,5,3,FH,Fish hair,129,129,1
Emarti,M4,Labeobarbus altianalis,5,3,NAB,Non-attached biofilm,8980.079000000002,8980.079000000002,1
Emarti,M4,Labeobarbus altianalis,5,3,VM,Vascular macrophyte,1698.433,1698.433,1
Engipai,M7,Labeo victorianus,2,1,AD,Attached diatoms,72019.69000000003,72019.69000000003,1
Engipai,M7,Labeo victorianus,2,1,DIATOM,Diatoms,617.991,617.991,1
Engipai,M7,Labeo victorianus,2,1,FA,Fish scale,262.195,262.195,1
Engipai,M7,Labeo victorianus,2,1,GRASS,Grass,97.7,97.7,1
Engipai,M7,Labeo victorianus,2,1,INSECT,Insects,1868.5639999999999,1868.5639999999999,1
Engipai,M7,Labeo victorianus,2,1,IO,Inorganic,590.437,590.437,1
Engipai,M7,Labeo victorianus,2,1,LD,Leaf detritus,38512.82199999999,38512.82199999999,1
Engipai,M7,Labeo victorianus,2,1,NAB,Non-attached biofilm,4872.436,4872.436,1
Engipai,M7,Labeo victorianus,2,1,VM,Vascular macrophyte,780.5409999999999,780.5409999999999,1
Engipai,M7,Labeo victorianus,2,2,AD,Attached diatoms,96812.92100000003,96812.92100000003,1
Engipai,M7,Labeo victorianus,2,2,DIATOM,Diatoms,599.6790000000001,599.6790000000001,1
Engipai,M7,Labeo victorianus,2,2,FA,Fish scale,25.599,25.599,1
Engipai,M7,Labeo victorianus,2,2,INSECT,Insects,163.599,163.599,1
Engipai,M7,Labeo victorianus,2,2,IO,Inorganic,592.206,592.206,1
Engipai,M7,Labeo victorianus,2,2,LD,Leaf detritus,14043.776000000005,14043.776000000005,1
Engipai,M7,Labeo victorianus,2,2,NAB,Non-attached biofilm,2597.2509999999997,2597.2509999999997,1
Engipai,M7,Labeo victorianus,2,3,AD,Attached diatoms,110492.45899999994,110492.45899999994,1
Engipai,M7,Labeo victorianus,2,3,DIATOM,Diatoms,498.35200000000003,498.35200000000003,1
Engipai,M7,Labeo victorianus,2,3,IO,Inorganic,138.849,138.849,1
Engipai,M7,Labeo victorianus,2,3,LD,Leaf detritus,9343.623000000001,9343.623000000001,1
Engipai,M7,Labeo victorianus,2,3,NAB,Non-attached biofilm,1536.8079999999998,1536.8079999999998,1
Engipai,M7,Labeo victorianus,4,1,AD,Attached diatoms,55337.84400000003,55337.84400000003,1
Engipai,M7,Labeo victorianus,4,1,DIATOM,Diatoms,1472.4709999999995,1472.4709999999995,1
Engipai,M7,Labeo victorianus,4,1,GRASS,Grass,1420,1420,1
Engipai,M7,Labeo victorianus,4,1,INSECT,Insects,19.925,19.925,1
Engipai,M7,Labeo victorianus,4,1,LD,Leaf detritus,65611.365,65611.365,1
Engipai,M7,Labeo victorianus,4,1,NAB,Non-attached biofilm,6294.029,6294.029,1
Engipai,M7,Labeo victorianus,4,1,VM,Vascular macrophyte,105.164,105.164,1
Engipai,M7,Labeo victorianus,4,2,AD,Attached diatoms,78950.35099999998,78950.35099999998,1
Engipai,M7,Labeo victorianus,4,2,DIATOM,Diatoms,608.383,608.383,1
Engipai,M7,Labeo victorianus,4,2,INSECT,Insects,1302.6789999999999,1302.6789999999999,1
Engipai,M7,Labeo victorianus,4,2,IO,Inorganic,374.775,374.775,1
Engipai,M7,Labeo victorianus,4,2,LD,Leaf detritus,57044.67200000004,57044.67200000004,1
Engipai,M7,Labeo victorianus,4,2,NAB,Non-attached biofilm,7650.4929999999995,7650.4929999999995,1
Engipai,M7,Labeo victorianus,4,2,VM,Vascular macrophyte,647.738,647.738,1
Engipai,M7,Labeo victorianus,4,3,AD,Attached diatoms,132852.889,132852.889,1
Engipai,M7,Labeo victorianus,4,3,DIATOM,Diatoms,311.91799999999995,311.91799999999995,1
Engipai,M7,Labeo victorianus,4,3,INSECT,Insects,2895.573999999999,2895.573999999999,1
Engipai,M7,Labeo victorianus,4,3,IO,Inorganic,2835.542,2835.542,1
Engipai,M7,Labeo victorianus,4,3,LD,Leaf detritus,62783.57400000001,62783.57400000001,1
Engipai,M7,Labeo victorianus,4,3,NAB,Non-attached biofilm,2185.1929999999998,2185.1929999999998,1
Engipai,M7,Labeo victorianus,4,3,VM,Vascular macrophyte,154.976,154.976,1
Engipai,M7,Labeobarbus altianalis,1,1,AD,Attached diatoms,112926.339,112926.339,1
Engipai,M7,Labeobarbus altianalis,1,1,DIATOM,Diatoms,331.19000000000005,331.19000000000005,1
Engipai,M7,Labeobarbus altianalis,1,1,GRASS,Grass,711.979,711.979,1
Engipai,M7,Labeobarbus altianalis,1,1,INSECT,Insects,173.2,173.2,1
Engipai,M7,Labeobarbus altianalis,1,1,LD,Leaf detritus,6246.3769999999995,6246.3769999999995,1
Engipai,M7,Labeobarbus altianalis,1,1,NAB,Non-attached biofilm,11382.779000000002,11382.779000000002,1
Engipai,M7,Labeobarbus altianalis,1,1,VM,Vascular macrophyte,2430.058,2430.058,1
Engipai,M7,Labeobarbus altianalis,1,2,AD,Attached diatoms,83672.70100000004,83672.70100000004,1
Engipai,M7,Labeobarbus altianalis,1,2,DIATOM,Diatoms,205.05,205.05,1
Engipai,M7,Labeobarbus altianalis,1,2,GRASS,Grass,1395,1395,1
Engipai,M7,Labeobarbus altianalis,1,2,LD,Leaf detritus,15239.062999999995,15239.062999999995,1
Engipai,M7,Labeobarbus altianalis,1,2,NAB,Non-attached biofilm,16170.524,16170.524,1
Engipai,M7,Labeobarbus altianalis,1,3,AD,Attached diatoms,108107.016,108107.016,1
Engipai,M7,Labeobarbus altianalis,1,3,DIATOM,Diatoms,571.9510000000001,571.9510000000001,1
Engipai,M7,Labeobarbus altianalis,1,3,FH,Fish hair,52.537,52.537,1
Engipai,M7,Labeobarbus altianalis,1,3,GRASS,Grass,13.849,13.849,1
Engipai,M7,Labeobarbus altianalis,1,3,LD,Leaf detritus,11104.700000000003,11104.700000000003,1
Engipai,M7,Labeobarbus altianalis,1,3,NAB,Non-attached biofilm,16179.650999999998,16179.650999999998,1
Engipai,M7,Labeobarbus altianalis,2,1,AD,Attached diatoms,67579.07599999999,67579.07599999999,1
Engipai,M7,Labeobarbus altianalis,2,1,DIATOM,Diatoms,1256.453,1256.453,1
Engipai,M7,Labeobarbus altianalis,2,1,FH,Fish hair,130,130,1
Engipai,M7,Labeobarbus altianalis,2,1,INSECT,Insects,170.413,170.413,1
Engipai,M7,Labeobarbus altianalis,2,1,IO,Inorganic,298.605,298.605,1
Engipai,M7,Labeobarbus altianalis,2,1,LD,Leaf detritus,28819.35300000001,28819.35300000001,1
Engipai,M7,Labeobarbus altianalis,2,1,NAB,Non-attached biofilm,7464.635999999999,7464.635999999999,1
Engipai,M7,Labeobarbus altianalis,2,2,AD,Attached diatoms,90294.45899999999,90294.45899999999,1
